pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
;;SECCIÓN I;;;;;;
;;ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;;;;;;
;;Notas.;;;;;;
;;1. En esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales;;;;;;
;;jóvenes de ese género o de esa especie.;;;;;;
;;2. Salvo disposición en contrario, cualquier referencia en la Nomenclatura a productos secos o desecados alcanza también a los productos deshidratados,;;;;;;
;;evaporados o liofilizados.;;;;;;
;;Nota Complementaria.;;;;;;
;;1. En las subpartidas correspondientes a los Capítulos 1 y 3, las expresiones Reproductores de raza pura, para reproducción o cría industrial, para lidia y para;;;;;;
;;carrera, comprenden los animales considerados como tales por la autoridad nacional competente.;;;;;;
;;CAPÍTULO 1;;;;;;
;;ANIMALES VIVOS;;;;;;
;;Nota.;;;;;;
;;1. Este Capítulo comprende todos los animales vivos, excepto:;;;;;;
;;"a) los peces, los crustáceos, moluscos y demás invertebrados acuáticos, de las partidas 03.01, 03.06, 03.07 o 03.08;";;;;;;
;;"b) los cultivos de microorganismos y demás productos de la partida 30.02;";;;;;;
;;c) los animales de la partida 95.08.;;;;;;
;;Notas Complementarias:;;;;;;
;;1. En la subpartida 0102.2 la expresión “bovinos domésticos” comprende los animales de las especies “Bos primigenius Taurus (Bos Taurus)” y “Bos primigenius;;;;;;
;;Indicus (Bos Indicus)”.;;;;;;
;;2. En las subpartidas 0105.94.00.10 y 0105.99.00.10, la expresión “especímenes de interés genético”, comprende los animales considerados como tales por la;;;;;;
;;autoridad nacional con competencia en materia de agricultura.;;;;;;
;0102.21.90.90;Reproductores de raza pura: - Los demás: - Los demás;0;;5,6;;;u
;0102.29;- - Los demás:;;;;;;
;0102.29.1;- - - Para reproducción:;;;;;;
;0102.29.11.00;Los demás: - Para reproducción: - Preñadas o con cría al pie;2;;5,6;;;u
;0102.29.19;- - - - Los demás:;;;;;;
;0102.29.19.10;Los demás: - Para reproducción: - Los demás: - Toros de lidia;2;;5,6;;;u
;0102.29.19.90;Los demás: - Para reproducción: - Los demás: - Los demás;2;;5,6;;;u
;0102.29.90;- - - Los demás:;;;;;;
;0102.29.90.10;Los demás: - Los demás: - Toros de lidia;2;;5,6;;;u
;0102.29.90.90;Los demás: - Los demás: - Los demás;2;;5,6;;;u
;;0102.3 - Búfalos:;;;;;;
;0102.31;- - Reproductores de raza pura:;;;;;;
;0102.31.10.00;Reproductores de raza pura: - Preñadas o con cría al pie;0;;5,6;;;u
;0102.31.90.00;Reproductores de raza pura: - Los demás;0;;5,6;;;u
;0102.39;- - Los demás:;;;;;;
;0102.39.1;- - - Para reproducción:;;;;;;
;0102.39.11.00;Los demás: - Para reproducción: - Preñadas o con cría al pie;2;;5,6;;;u
;0102.39.19.00;Los demás: - Para reproducción: - Los demás;2;;5,6;;;u
;0102.39.90.00;Los demás: - Los demás;2;;5,6;;;u
;0102.90.00.00;Los demás;0;;5,6;;;u
;01.03;ANIMALES VIVOS DE LA ESPECIE PORCINA.;;;;;;
;0103.10.00.00;Reproductores de raza pura;0;;5,6;;;u
;;0103.9 - Los demás:;;;;;;
;0103.91.00.00;De peso inferior a;kg;10E;2;5,6;;u
;0103.92.00.00;De peso superior o igual a;kg;10E;2;5,6;;u
