pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
11;;catla,Labeospp.,Osteochilushasselti,Leptobarbushoeveni,Megalobrama;;;;;;
11;;spp.):;;;;;;
11;0301.93.10.00;- - - Para reproducción;0;;5,18;;;u
11;0301.93.90.00;- - - Las demás;10;;5,18;;;u
11;0301.94;- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus;;;;;;
11;;thynnus, Thunnus orientalis):;;;;;;
11;0301.94.10.00;- - - Para reproducción;0;;5,18;;;u
11;0301.94.90.00;- - - Los demás;10;;5,18;;;kg
11;0301.95;- - Atunes del sur (Thunnus maccoyii):;;;;;;
11;0301.95.10.00;- - - Para reproducción;0;;5,18;;;u
11;0301.95.90.00;- - - Los demás;10;;5,18;;;kg
11;0301.99;- - Los demás:;;;;;;
11;0301.99.1;- - - Para reproducción:;;;;;;
11;0301.99.11.00;- - - - Tilapias(Tilapiaspp.,Oreochromisspp.,Sarotherodonspp.,Danakilia;;;;;;
11;;"spp.; sus híbridos) 0 5,18 u";;;;;;
11;0301.99.12.00;- - - - Esturiones (Acipencerbaerii,Acipensergueldenstaedtii,Acipenser;;;;;;
11;;persicus, Acipenser stellatus) 0 5,18 u;;;;;;
11;0301.99.19.00;- - - - Los demás;0;;5,18;;;u
11;0301.99.9;- - - Los demás:;;;;;;
11;0301.99.91.00;- - - - Tilapias(Tilapiaspp.,Oreochromisspp.,Sarotherodonspp.,Danakilia;;;;;;
11;;"spp.; sus híbridos) 10 5,18 kg";;;;;;
11;0301.99.92.00;- - - - Esturiones (Acipencerbaerii,Acipensergueldenstaedtii,Acipenser;;;;;;
11;;persicus, Acipenser stellatus) 10 5,18 kg;;;;;;
11;0301.99.99.00;- - - - Los demás;10;;5,18;;;kg
11;03.02;PESCADO FRESCO O REFRIGERADO, EXCEPTO LOS FILETES Y DEMÁS;;;;;;
11;;CARNE DE PESCADO DE LA PARTIDA 03.04.;;;;;;
11;;0302.1 - Salmónidos,excepto losdespojos comestibles de pescado de lassubpartidas;;;;;;
11;0302.91;a 0302.99:;;;;;;
11;0302.11.00.00;- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,;;;;;;
11;;Oncorhynchusaguabonita,Oncorhynchusgilae,Oncorhynchusapachey;;;;;;
11;;Oncorhynchus chrysogaster) 10 3,5,18 kg;;;;;;
11;0302.13.00.00;- - Salmones del Pacífico (Oncorhynchusnerka,Oncorhynchusgorbuscha,;;;;;;
11;;Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,;;;;;;
11;;Oncorhynchus masou y Oncorhynchus rhodurus);;;;;;
11;;10 3,5,18 kg;;;;;;
11;0302.14.00.00;- - Salmones del Atlántico (Salmosalar) y salmones del Danubio (Hucho;;;;;;
11;;hucho) 10 3,5,18 kg;;;;;;
11;0302.19.00.00;- - Los demás;10;;3,5,18;;;kg
11;;0302.2 - Pescados planos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,;;;;;;
11;;ScophthalmidaeyCitharidae), excepto los despojos comestibles de pescado;;;;;;
11;;de las subpartidas 0302.91 a 0302.99:;;;;;;
11;0302.21.00.00;- - Fletanes (halibut) (Reinhardtius hippoglossoides, Hippoglossus;;;;;;
11;;hippoglossus, Hippoglossus stenolepis) 10 3,5,18 kg;;;;;;
11;0302.22.00.00;- - Sollas (Pleuronectes platessa);10;;3,5,18;;;kg
11;0302.23.00.00;- - Lenguados (Solea spp.);10;;3,5,18;;;kg
11;0302.24.00.00;- - Rodaballos (turbots) (Psetta maxima);10;;3,5,18;;;kg
11;0302.29.00.00;- - Los demás;10;;3,5,18;;;kg
11;;0302.3 - Atunes (del género Thunnus), listados (bonitos de vientre rayado);;;;;;
11;;(Katsuwonuspelamis), excepto los despojos comestibles de pescado de las;;;;;;
11;;subpartidas 0302.91 a 0302.99:;;;;;;
11;0302.31.00.00;- - Albacoras o atunes blancos (Thunnus alalunga);10;;3,5,18;;;kg
11;0302.32.00.00;- - Atunes de aleta amarilla (rabiles) (Thunnus albacares);10;;3,5,18;;;kg
11;0302.33.00.00;- - Listados (bonitos de vientre rayado) (Katsuwonus pelamis);10;;3,5,18;;;kg
11;0302.34.00.00;- - Patudos o atunes ojo grande (Thunnus obesus);10;;3,5,18;;;kg
11;0302.35.00.00;- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus;;;;;;
11;;thynnus, Thunnus orientalis) 10 3,5,18 kg;;;;;;
11;0302.36.00.00;- - Atunes del sur (Thunnus maccoyii);10;;3,5,18;;;kg
11;0302.39.00.00;- - Los demás;10;;3,5,18;;;kg
11;;0302.4 - Arenques (Clupea harengus, Clupea pallasii), anchoas (Engraulis spp.),;;;;;;
11;;sardinas (Sardinapilchardus,Sardinopsspp.), sardinelas (Sardinellaspp.),;;;;;;
11;;espadines (Sprattus sprattus), caballas (Scomber scombrus, Scomber;;;;;;
11;;australasicus,Scomberjaponicus), caballas de la India (Rastrelligerspp.),;;;;;;
11;;carites (Scomberomorusspp.), jureles (Trachurusspp.), pámpanos (Caranx;;;;;;
11;;spp.), cobias (Rachycentroncanadum), palometones plateados (Pampus;;;;;;
11;;spp.), papardas del Pacífico (Cololabissaira), macarelas (Decapterusspp.),;;;;;;
11;;capelanes (Mallotusvillosus), peces espada (Xiphiasgladius), bacoretas;;;;;;
11;;orientales (Euthynnusaffinis), bonitos (Sardaspp.), agujas, marlines, peces;;;;;;
11;;vela o picudos (Istiophoridae),excepto losdespojos comestiblesde pescado;;;;;;
11;;de las subpartidas 0302.91 a 0302.99:;;;;;;
11;0302.41.00.00;- - Arenques (Clupea harengus, Clupea pallasii);10;;3,5,18;;;kg
12;0302.42;- - Anchoas (Engraulis spp.):;;;;;;
12;0302.42.10.00;- - - Anchoitas (Engraulis anchoita);10;;3,5,18;;;kg
12;0302.42.90.00;- - - Las demás;10;;3,5,18;;;kg
12;0302.43.00.00;- - Sardinas(Sardinapilchardus,Sardinopsspp.),sardinelas(Sardinellaspp.);;;;;;
12;;y espadines (Sprattus sprattus) 10 3,5,18 kg;;;;;;
12;0302.44.00.00;- - Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus);;;;;;
12;;10 3,5,18 kg;;;;;;
12;0302.45.00.00;- - Jureles (Trachurus spp.);10;;3,5,18;;;kg
12;0302.46.00.00;- - Cobias (Rachycentron canadum);10;;3,5,18;;;kg
12;0302.47.00.00;- - Peces espada (Xiphias gladius);10;;3,5,18;;;kg
12;0302.49;- - Los demás:;;;;;;
12;0302.49.10.00;- - - Agujas, marlines, peces vela o picudos (Istiophoridae);10;;3,5,18;;;kg
12;0302.49.90.00;- - - Los demás;10;;3,5,18;;;kg
12;;0302.5 - Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae,;;;;;;
12;;Macrouridae,Melanonidae,Merlucciidae,MoridaeyMuraenolepididae,excepto;;;;;;
12;;los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:;;;;;;
12;0302.51.00.00;- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus);0;;3,5,18;;;kg
12;0302.52.00.00;- - Eglefinos (Melanogrammus aeglefinus);10;;3,5,18;;;kg
